1,0
1,4
1,5
1,6
1,8
1,9
1,11
1,14
1,17
1,18
1,34
1,35
1,36
1,38
1,39
1,40
1,41
1,42
1,43
1,45
1,47
1,49
1,50
1,51
1,52
1,53
1,55
1,59
1,61
1,62
1,63
1,67
1,69
1,71
1,73
1,74
1,78
1,80
1,81
1,83
1,85
1,87
1,93
1,94
1,97
2,0
2,4
2,5
2,7
2,8
2,10
2,11
2,12
2,13
2,14
2,17
2,18
2,20
2,21
2,23
2,25
2,26
2,29
2,36
2,38
2,40
2,42
2,43
2,45
2,48
2,50
2,57
2,60
2,62
2,63
2,69
2,71
2,72
2,73
2,80
2,83
2,84
2,85
2,86
2,91
2,92
2,93
2,95
2,96
3,0
3,3
3,5
3,6
3,7
3,11
3,12
3,13
3,14
3,17
3,18
3,19
3,21
3,23
3,25
3,32
3,33
3,38
3,39
3,40
3,43
3,47
3,52
3,57
3,60
3,61
3,62
3,63
3,67
3,68
3,69
3,70
3,71
3,74
3,75
3,79
3,80
3,81
3,83
3,87
3,89
4,0
4,3
4,4
4,7
4,9
4,12
4,15
4,17
4,21
4,26
4,28
4,29
4,31
4,33
4,36
4,38
4,40
4,43
4,45
4,47
4,48
4,61
4,62
4,63
4,65
4,69
4,71
4,72
4,73
4,74
4,78
4,81
4,83
4,85
4,86
4,87
4,89
4,93
4,95
4,96
4,97
5,1
5,3
5,5
5,6
5,8
5,11
5,14
5,17
5,20
5,21
5,26
5,28
5,29
5,31
5,33
5,35
5,36
5,38
5,39
5,40
5,41
5,42
5,43
5,48
5,51
5,52
5,57
5,59
5,61
5,62
5,63
5,66
5,69
5,70
5,77
5,80
5,81
5,82
5,83
5,85
5,86
5,89
5,90
5,95
6,5
6,7
6,14
6,21
6,26
6,28
6,31
6,33
6,35
6,36
6,43
6,45
6,50
6,61
6,62
6,63
6,69
6,77
6,80
6,81
6,83
6,86
6,87
6,88
6,91
6,96
7,3
7,8
7,11
7,12
7,13
7,17
7,20
7,21
7,23
7,25
7,28
7,29
7,31
7,33
7,35
7,36
7,38
7,40
7,43
7,47
7,48
7,50
7,51
7,59
7,62
7,63
7,66
7,67
7,70
7,71
7,72
7,73
7,74
7,81
7,83
7,85
7,87
7,89
7,92
7,93
7,95
7,97
8,13
8,21
8,23
8,29
8,36
8,42
8,43
8,45
8,46
8,51
8,57
8,63
8,68
8,69
8,70
8,72
8,74
8,77
8,81
8,83
8,85
8,89
8,95
8,97
9,3
9,7
9,8
9,12
9,13
9,17
9,21
9,25
9,27
9,28
9,34
9,35
9,36
9,38
9,39
9,40
9,43
9,45
9,47
9,48
9,49
9,51
9,52
9,57
9,63
9,66
9,67
9,68
9,69
9,71
9,72
9,74
9,78
9,80
9,81
9,82
9,83
9,84
9,85
9,86
9,87
9,89
9,91
9,93
9,95
10,3
10,8
10,10
10,12
10,13
10,14
10,17
10,26
10,28
10,35
10,36
10,38
10,41
10,48
10,51
10,57
10,61
10,62
10,63
10,69
10,73
10,76
10,81
10,85
10,86
10,87
10,89
10,90
10,97
11,0
11,3
11,8
11,9
11,11
11,12
11,17
11,24
11,28
11,34
11,36
11,38
11,40
11,42
11,47
